,W_n1,W_n2,X1,X2
0,1.98,0.46,0.6200438907367618,2.5487547942194855
1,1.96,0.44,0.6200440250516523,2.5485316021089295
2,1.94,0.42,0.6200441656857644,2.5482979025048547
3,1.92,0.4,0.6200443129358673,2.5480571832321495
4,1.9,0.38,0.6200444671126182,2.547807911453251
5,1.88,0.36,0.6200446285412042,2.5475469041109977
6,1.86,0.34,0.6200447975620175,2.5472736094297472
7,1.84,0.32,0.6200449745313579,2.546987449771186
8,1.82,0.3,0.6200451598221757,2.5466878204311416
9,1.8,0.28,0.6200453538248342,2.546374088381243
10,1.78,0.26,0.6200455569479233,2.54604559095335
11,1.76,0.24,0.6200457696190956,2.545701634463988
12,1.74,0.22,0.6200459922859501,2.5453414927762896
13,1.72,0.2,0.620046225416949,2.5449644057968057
14,1.7,0.18,0.6200464695023817,2.5445695779042055
15,1.68,0.16,0.6200467250553687,2.544156176307118
16,1.66,0.14,0.6200469926129099,2.543723329328055
17,1.64,0.12,0.6200472727369815,2.5432701246101495
18,1.62,0.1,0.6200475660156803,2.54279560724365
19,1.6,0.08,0.6200478730644263,2.542298777808634
20,1.58,0.06,0.6200481945272005,2.541784566690668
21,1.56,0.04,0.6200485310778595,2.541254621074629
22,1.54,0.02,0.6200488834214929,2.5406997580178308
23,1.52,0.0,0.6200492522958453,2.54011880984033
24,1.5,-0.02,0.6200496384728016,2.53951055458476
25,1.48,-0.04,0.6200500427599369,2.5388737135409087
26,1.46,-0.06,0.6200504660021264,2.5382069486619554
27,1.44,-0.08,0.62005090908324,2.537508859868039
28,1.42,-0.1,0.6200513729278954,2.5367779822325023
29,1.4,-0.12,0.6200518585032909,2.5360127830461465
30,1.38,-0.14,0.6200523668211217,2.5352274630369696
31,1.36,-0.16,0.6200528989395682,2.5344112493566873
32,1.34,-0.18,0.620053455965379,2.5335567136852237
33,1.32,-0.2,0.6200540390560286,2.532662067207445
34,1.3,-0.22,0.6200546494219781,2.5317254387490817
35,1.28,-0.24,0.620055288329016,2.5307448710942784
36,1.26,-0.26,0.6200559571007112,2.529718317146371
37,1.24,-0.28,0.620056657120947,2.528669208752901
38,1.22,-0.3,0.6200573898365795,2.5275742146777027
39,1.2,-0.32,0.6200581567601803,2.5264278875092128
40,1.18,-0.34,0.6200589594729058,2.5252278410091646
41,1.16,-0.36,0.6200597996274726,2.5239715800874225
42,1.14,-0.38,0.6200606789512468,2.52267629572605
43,1.12,-0.4,0.6200615992494588,2.521336287247638
44,0.64,-0.86,0.6199396643245496,2.461851508186304
45,0.62,-0.88,0.6199427776098133,2.4586355343686876
46,0.6,-0.9,0.6199460322231319,2.455283017312914
47,0.58,-0.92,0.6199494343194443,2.45186384805741
48,0.56,-0.94,0.6199529902971419,2.4483073008025196
49,0.54,-0.96,0.6199567068053544,2.4446636799491426
50,0.52,-0.98,0.6199605907512148,2.4409020425582875
51,0.5,-1.0,0.6199646493070801,2.43701712941039
52,0.48,-1.02,0.6199688899176732,2.4330467289852837
53,0.46,-1.04,0.6199733203071022,2.428943098076475
54,0.44,-1.06,0.6199779484857331,2.424721623289222
55,0.42,-1.08,0.6199827827568478,2.4204055808809564
56,0.4,-1.1,0.619987831723062,2.415958783812861
57,0.38,-1.12,0.6199931042924349,2.411383103964654
58,0.36,-1.14,0.6199986096842105,2.4067083637531987
59,0.34,-1.16,0.6200041525337053,2.4019156330233224
60,0.32,-1.18,0.6200098703641105,2.3969957239808486
61,0.3,-1.2,0.6200158382570915,2.3919502063544678
62,0.28,-1.22,0.620022066230627,2.3867805644612705
63,0.26,-1.24,0.6200285646191662,2.381505928985455
64,0.24,-1.26,0.6200353440755619,2.3761123495312453
65,0.22,-1.28,0.6200424155721189,2.370595462349279
66,0.2,-1.3,0.6200497904006538,2.364956491416108
67,0.18,-1.32,0.6200574801714497,2.3591965876105747
68,0.08,-1.4,0.6199382270583861,2.3251199695623717
69,0.06,-1.42,0.6199490119852099,2.3187496941529213
70,0.04,-1.44,0.6199602405701254,2.3122681436189376
71,0.02,-1.46,0.6199719281074798,2.305673018888289
72,0.0,-1.48,0.6199840901540922,2.2989649411104964
73,-0.02,-1.5,0.6199967425082072,2.292144475490448
74,-0.04,-1.52,0.6200094356763828,2.2852121320113348
75,-0.06,-1.54,0.6200224736670322,2.2781683659656866
76,-0.08,-1.56,0.6200360252328582,2.2710135783027994
77,-0.1,-1.58,0.6200501060929341,2.263748115802132
78,-0.18,-1.64,0.6199502612610537,2.231272653909378
79,-0.2,-1.66,0.6199688535288536,2.223599467358087
80,-0.22,-1.68,0.6199881297379957,2.215820050956518
81,-0.24,-1.7,0.620007725661755,2.2079344074502045
82,-0.26,-1.72,0.6200274472482004,2.1999681549515975
83,-0.28,-1.74,0.6200478679503402,2.191915888523578
84,-0.34,-1.78,0.6199518563584896,2.1652992375444815
85,-0.36,-1.8,0.6199774591379376,2.1569522364159446
86,-0.38,-1.82,0.620003720853723,2.14853978713591
87,-0.4,-1.84,0.6200297382140537,2.1400253239741684
88,-0.42,-1.86,0.6200565819469458,2.1314418254765486
89,-0.46,-1.88,0.6199511297103691,2.1124582415170794
90,-0.48,-1.9,0.6199833259289121,2.1037028318993722
91,-0.5,-1.92,0.6200156908769809,2.0948642797155026
92,-0.52,-1.94,0.6200481755161565,2.085971740509609
93,-0.56,-1.96,0.6199545257414676,2.06659474007493
94,-0.58,-1.98,0.6199931086824371,2.057529025485951
95,-0.6,-2.0,0.6200311491409048,2.0484116020959653
