,W_n1,W_n2,X1,X2
52,1.77,1.25,0.49809993808991443,2.0476935599788435
53,1.77,1.27,0.4964611916676393,2.0370875577059895
54,1.75,1.12,0.50400466961823,2.0886556309705058
55,1.75,1.15,0.502618979571141,2.078617725634295
56,1.75,1.17,0.5011846944481942,2.0684360840193348
57,1.75,1.2,0.4996906415064636,2.058112232684577
58,1.75,1.22,0.49810217155867703,2.047647609802722
59,1.75,1.25,0.49646349857182115,2.037043572916303
60,1.72,1.1,0.504006652848563,2.0885974305442727
61,1.72,1.12,0.5026210364396008,2.0785621047991225
62,1.72,1.15,0.5011868255732516,2.068382904882623
63,1.72,1.17,0.49969292920946523,2.0580613668572623
64,1.72,1.2,0.498104537061052,2.0475989375459154
65,1.72,1.22,0.4964659418539128,2.0369969823805363
66,1.7,1.07,0.5040087532931747,2.0885357831445996
67,1.7,1.1,0.5026232148771362,2.078503189547837
68,1.7,1.12,0.5011890826590216,2.068326575766985
69,1.7,1.15,0.49969535213039223,2.058007487922837
70,1.7,1.17,0.49810704238304254,2.0475473819936365
71,1.7,1.2,0.4964685295564786,2.0369476317624033
72,1.67,1.05,0.5040109778609798,2.0884704847241373
73,1.67,1.07,0.5026255220496593,2.0784407848367765
74,1.67,1.1,0.5011914731306206,2.0682669101577167
75,1.67,1.12,0.4996979182403768,2.057950417452197
76,1.67,1.15,0.4981096957674459,2.0474927723882126
77,1.67,1.17,0.49647127019397247,2.036895357588249
78,1.65,1.02,0.5040133338658331,2.0884013191694226
79,1.65,1.05,0.5026279655431236,2.0783746840854653
80,1.65,1.07,0.5011940048484425,2.0682037105047795
81,1.65,1.1,0.49970063597787256,2.0578899664569366
82,1.65,1.12,0.49811250594035894,2.0474349278651003
83,1.65,1.15,0.49647417278012934,2.0368399867071703
84,1.62,1.0,0.5040158290499904,2.088328057588887
85,1.62,1.02,0.5026305533878656,2.0783046684952917
86,1.62,1.05,0.5011966861333846,2.0681367675710867
87,1.62,1.07,0.49970351427575027,2.0578259347657366
88,1.62,1.1,0.4981154821392007,2.047373656854934
89,1.62,1.12,0.4964772468569183,2.036781335718115
90,1.6,0.97,0.5040184716088851,2.0882504575592664
91,1.6,1.0,0.5026332940843091,2.0782305063282496
92,1.6,1.02,0.5011995257934959,2.068065859742308
93,1.6,1.05,0.49970656258990703,2.057758110363277
94,1.6,1.07,0.4981186341423111,2.047308756451212
95,1.6,1.1,0.4964805025251268,2.036719210364407
96,1.57,0.95,0.5040212702173069,2.088168262327463
97,1.57,0.97,0.5026361966301282,2.0781519521437652
98,1.57,1.0,0.5012025331521255,2.067990752296002
99,1.57,1.02,0.4997097909294996,2.057686268690647
100,1.57,1.05,0.49812197230021976,2.04724001173987
101,1.57,1.07,0.4964839504766754,2.036653404891332
102,1.55,0.92,0.5040242340570449,2.0880811999657065
103,1.55,0.95,0.502639270548926,2.0780687459897393
104,1.55,0.97,0.5012057180776566,2.067911196627739
105,1.55,1.0,0.49971320988886797,2.0576101719045115
106,1.55,1.02,0.4981255075686805,2.04716719509016
107,1.55,1.05,0.4964876020287499,2.036583701366915
108,1.52,0.9,0.5040273728460778,2.0879889824773676
109,1.52,0.92,0.5026425259205292,2.077980612547215
110,1.52,0.95,0.5012090910149021,2.06782692943211
111,1.52,0.97,0.49971683068126116,2.0575295680926047
112,1.52,1.0,0.49812925154354837,2.0470900654028696
113,1.52,1.02,0.4964914691598489,2.036509868961778
114,1.5,0.87,0.5040306968693954,2.087891304850174
115,1.5,0.9,0.5026459734129577,2.0778872602239438
116,1.5,0.92,0.5012126630182536,2.0677376718349314
117,1.5,0.95,0.49972066517442765,2.0574441904431757
118,1.5,0.97,0.4981332164976109,2.047008367315168
119,1.5,1.0,0.4964955645478408,2.0364316631872974
120,1.47,0.85,0.5040342170115238,2.0877878440540525
121,1.47,0.87,0.5026496243161875,2.0777883801953085
122,1.47,0.9,0.501216445786671,2.0676431284752432
123,1.47,0.92,0.4997247259282026,2.057353756365593
124,1.47,0.95,0.49813741541946566,2.0469218303579853
125,1.47,0.97,0.49649990161014823,2.036348825088279
126,1.45,0.82,0.5040379447908554,2.087678257980453
127,1.45,0.85,0.5026534905777654,2.0776836453889347
128,1.45,0.87,0.5012204517006135,2.0675429865328274
129,1.45,0.9,0.4997290262341608,2.057257966558918
130,1.45,0.92,0.4981418620545579,2.0468301680640493
131,1.45,0.95,0.496504494546155,2.0362610803882544
132,1.42,0.8,0.5040418923958645,2.0875621843194168
133,1.42,0.82,0.5026575848403932,2.0775727094097367
134,1.42,0.85,0.5012246938609981,2.067436914699041
135,1.42,0.87,0.49973358015747,2.0571565040266337
136,1.42,0.9,0.49814657094847065,2.0467330770236445
137,1.42,0.92,0.4965093583819556,2.036168138584873
138,1.4,0.77,0.5040460727233084,2.08743923937152
139,1.4,0.8,0.502661920481575,2.0774552054022997
140,1.4,0.82,0.5012291861303049,2.0673245620873244
141,1.4,0.85,0.4997384025810381,2.0570490330324462
142,1.4,0.87,0.49815155749261275,2.0466302358845145
143,1.4,0.9,0.49651450901757077,2.036069691991475
144,1.37,0.75,0.5040504994185134,2.0873090167899657
145,1.37,0.77,0.5026665116554202,2.077330744846395
146,1.37,0.8,0.5012339431759213,2.067205557079598
147,1.37,0.82,0.499743509252064,2.0569351979957142
148,1.37,0.85,0.4981568379723851,2.0465213042934325
149,1.37,0.87,0.49651996327673986,2.0359654147226602
150,1.35,0.72,0.5040551869178401,2.087171086249808
151,1.35,0.75,0.5026713733367216,2.0771989162825832
152,1.35,0.77,0.5012389805158404,2.0670795061055864
153,1.35,0.8,0.4997489168311338,2.0568146223216845
154,1.35,0.82,0.49816242961798085,2.046405921775201
155,1.35,0.85,0.49652573895942914,2.0358549616198998
156,1.32,0.7,0.5040601504934448,2.0870249920394515
157,1.32,0.72,0.5026765213674068,2.077059283963058
158,1.32,0.75,0.5012443145668294,2.0669459923503473
159,1.32,0.77,0.49975464294395666,2.0566869071632254
160,1.32,0.8,0.4981683506579295,2.046283706546211
161,1.32,0.82,0.4965318548971837,2.0357379671146068
162,1.3,0.67,0.5040654063004264,2.0868702515702564
163,1.3,0.7,0.5026819725054847,2.0769113864240976
164,1.3,0.72,0.5012499626951806,2.0668045743866346
165,1.3,0.75,0.4997607062358848,2.0565516301104325
166,1.3,0.77,0.4981746203755184,2.0461542542583624
167,1.3,0.8,0.49653833101145506,2.035614044023757
168,1.27,0.65,0.5040709714265024,2.0867063537996575
169,1.27,0.67,0.5026877444765945,2.0767547349752036
170,1.27,0.7,0.5012559432701738,2.0666547847271315
171,1.27,0.72,0.4997671264293511,2.0564083438029694
172,1.27,0.75,0.49818125916823075,2.046017136669142
173,1.27,0.77,0.4965451883750513,2.0354827822752877
174,1.25,0.62,0.5040768639442894,2.0865327575627717
175,1.25,0.65,0.5026938560282883,2.07658881210048
176,1.25,0.67,0.5012622757203617,2.066496128292547
177,1.25,0.7,0.4997739243843368,2.0562565744619614
178,1.25,0.72,0.4981882886103402,2.0458719002343035
179,1.25,0.75,0.49655244927685555,2.035343747558709
180,1.22,0.6,0.5040831029663435,2.086348889807254
181,1.22,0.62,0.5027003269871588,2.076413069767091
182,1.22,0.65,0.5012689805928278,2.066328080790242
183,1.22,0.67,0.499781122162038,2.056095820335772
184,1.22,0.7,0.49819573151880414,2.045718064617763
185,1.22,0.72,0.4965601372899564,2.0351964798962743
186,1.2,0.57,0.5040897087030469,2.086154143726157
187,1.2,0.6,0.5027071783189464,2.076226927635442
188,1.2,0.62,0.5012760796155186,2.0661500869986043
189,1.2,0.65,0.49978874309184174,2.0559255500552283
190,1.2,0.67,0.4982036120225926,2.0455551211146843
191,1.2,0.7,0.4965682773433415,2.0350404921310346
192,1.17,0.55,0.5040967025234935,2.0859478767828126
