,W_n1,W_n2,X1,X2
0,0.73,0.28,0.39990759994358227,1.7572857893027678
1,0.72,0.27,0.3999179326389812,1.7571560502881032
2,0.71,0.26,0.39992850027981736,1.7570233242492588
3,0.7,0.25,0.39993930807356,1.756887543196531
4,0.69,0.24,0.39995036133684564,1.75674863762678
5,0.68,0.23,0.3999616654974662,1.756606536491193
6,0.67,0.22,0.3999732260963936,1.756461167162365
7,0.66,0.21,0.39998504878981567,1.7563124554007439
8,0.65,0.2,0.3999971393512016,1.7561603253204425
9,0.64,0.19,0.40000922727421945,1.7560046993543463
10,0.63,0.18,0.40002150364787836,1.7558487109761982
11,0.62,0.17,0.4000340576309205,1.7556892383548797
12,0.61,0.16,0.40004689530556015,1.7555261025300366
13,0.6,0.15,0.4000600228782206,1.7553592204927717
14,0.59,0.14,0.400073446681643,1.7551885074021172
15,0.58,0.13,0.4000871731770186,1.7550138765465515
16,0.32,-0.12,0.3999134325927271,1.746259924330081
17,0.31,-0.13,0.399939357362252,1.7459523995503796
18,0.3,-0.14,0.3999658499235801,1.745637882230825
19,0.29,-0.15,0.39999292188293933,1.7453162168580225
20,0.28,-0.16,0.40001998686449086,1.7449872445920454
21,0.27,-0.17,0.40004743189057046,1.7446508031992427
22,0.26,-0.18,0.40007547450919434,1.7443067269837194
23,0.11,-0.32,0.39991575356330467,1.73576954177611
24,0.1,-0.33,0.39995680237034975,1.7353069788081164
25,0.09,-0.34,0.3999987169489384,1.734833979110568
26,0.08,-0.35,0.40004030818233344,1.7343503136162661
27,0.07,-0.36,0.4000827346321206,1.733855748435717
28,-0.04,-0.46,0.39995308525932727,1.7253222370758567
29,-0.05,-0.47,0.4000093127994106,1.7247021320602252
30,-0.06,-0.48,0.4000652910107968,1.724068122783026
31,-0.15,-0.56,0.3999646019402891,1.7155072190147458
32,-0.16,-0.57,0.4000346047605636,1.7147605826592982
33,-0.24,-0.64,0.3999799968857281,1.7059590570891148
34,-0.25,-0.65,0.40006337310067436,1.7050821261138227
35,-0.31,-0.7,0.39993562733258,1.697260041891679
36,-0.32,-0.71,0.40003270202693036,1.6962739366138828
37,-0.38,-0.76,0.3999854732222651,1.6878319478393013
38,-0.39,-0.77,0.40009484285253427,1.686741364200941
39,-0.44,-0.81,0.4000141710855466,1.6788259741424334
40,-0.49,-0.85,0.3999902525378023,1.6704963217657773
41,-0.54,-0.89,0.4000280792540912,1.6617257580144247
42,-0.58,-0.92,0.39997285930646637,1.6539620452760315
43,-0.62,-0.95,0.39996212697628164,1.6458974982882644
44,-0.66,-0.98,0.399998828397043,1.637519169773731
45,-0.7,-1.01,0.4000824493889216,1.6288127222330702
46,-0.73,-1.03,0.40001423824123394,1.6215719566943025
47,-0.76,-1.05,0.3999742380194538,1.6141420339622037
48,-0.79,-1.07,0.39996441745568323,1.6065193019651838
49,-0.82,-1.09,0.3999858941414418,1.5986996299529534
50,-0.85,-1.11,0.4000381335129829,1.5906784019002373
51,-0.9,-1.14,0.39997686670834487,1.5762141403200158
52,-0.95,-1.17,0.40000717341158365,1.561180169746515
53,-0.97,-1.18,0.3999119043450977,1.5546270981284174
54,-1.02,-1.21,0.4000731605379539,1.5387470235350613
55,-1.04,-1.22,0.40003276402790006,1.5318505384403927
56,-1.06,-1.23,0.4000073966704747,1.524864119447645
57,-1.08,-1.24,0.39999699664995386,1.5177764170072217
58,-1.1,-1.25,0.4000018178378416,1.5105851467472031
59,-1.12,-1.26,0.4000215717541561,1.503289932958565
60,-1.14,-1.27,0.40005628600061377,1.4958902401235263
61,-1.21,-1.3,0.3999704969447227,1.4682883050675175
62,-1.23,-1.31,0.40007264009330795,1.4604143820210236
63,-1.26,-1.32,0.3999265455578302,1.447519938497895
64,-1.28,-1.33,0.40006601897440536,1.439370158123715
65,-1.31,-1.34,0.39997507728917914,1.4260643115596467
66,-1.34,-1.35,0.3999146020888121,1.4124976494969634
67,-1.43,-1.38,0.39992112799728924,1.370222526024632
68,-1.46,-1.39,0.3999833277312226,1.3555723948432887
69,-1.49,-1.4,0.4000719265038747,1.3406348306751508
70,-1.53,-1.41,0.40001721994008627,1.3196815796180528
71,-1.57,-1.42,0.4000085651209822,1.2981736267486237
72,-1.61,-1.43,0.4000438049339199,1.276064718637164
73,-1.66,-1.44,0.3999857950847423,1.2471248308413685
74,-1.71,-1.45,0.3999894324598098,1.2171015839896557
75,-1.76,-1.46,0.40005011658529777,1.1858769515723286
76,-1.77,-1.46,0.39993910310893255,1.179142240596221
77,-1.82,-1.47,0.40006404727142064,1.1462708159165078
78,-1.83,-1.47,0.3999659181346366,1.1391811479955254
79,-1.89,-1.48,0.400060863458261,1.0968464840622667
80,-1.9,-1.48,0.3999756955566857,1.0892535983563456
81,-1.97,-1.49,0.40006814499647897,1.0352466576886006
82,-1.98,-1.49,0.39999629950074755,1.0268987397095604
83,-1.99,-1.49,0.3999239161741071,1.0184378908245502
