,W_n1,W_n2,X1,X2
0,1.98,-2.0,0.7799748493392588,3.487106148813527
1,1.98,-1.98,0.7799742135054843,3.486201832586301
2,1.98,-1.96,0.7799735477125074,3.48527148167016
3,1.98,-1.94,0.7799728505490438,3.484297272006826
4,1.98,-1.92,0.7799721205373571,3.483277127659945
5,1.98,-1.9,0.7799713561301393,3.482208873203624
6,1.98,-1.88,0.7799705557072324,3.481090228814121
7,1.98,-1.86,0.779969717572206,3.4799188051086407
8,1.98,-1.84,0.7799688399487712,3.478695488828311
9,1.98,-1.82,0.7799679209770229,3.477451323035814
10,1.98,-1.8,0.7799669587095095,3.476148557728359
11,1.98,-1.78,0.7799659511071177,3.4747844155741596
12,1.98,-1.76,0.7799648960347672,3.4733559851482507
13,1.98,-1.74,0.7799637912568947,3.4718602142215493
14,1.98,-1.72,0.7799626344327355,3.470316175735051
15,1.98,-1.7,0.7799614231113816,3.4687278626694544
16,1.98,-1.68,0.7799601547266052,3.467064810954713
17,1.98,-1.66,0.7799588265914421,3.4653234704556333
18,1.98,-1.64,0.7799574358925229,3.463500118171042
19,1.98,-1.62,0.7799559796841368,3.461641800156563
20,1.98,-1.6,0.7799544548820196,3.459706093972298
21,1.98,-1.58,0.7799528582568479,3.457679386981393
22,1.98,-1.56,0.7799511864274319,3.455557344582011
23,1.98,-1.54,0.7799494358535943,3.4534009842556657
24,1.98,-1.52,0.7799476028287041,3.4511486489980423
25,1.98,-1.5,0.7799456834718776,3.448790540217491
26,1.98,-1.48,0.7799436737198023,3.446362262183694
27,1.98,-1.46,0.7799415693181878,3.4438597466833683
28,1.98,-1.44,0.7799393658128148,3.4412398825009363
29,1.98,-1.42,0.7799370585401664,3.4385385822378636
30,1.98,-1.4,0.7799346426176261,3.435758800527649
31,1.98,-1.38,0.7799321129332176,3.4328488214785198
32,1.98,-1.36,0.7799294641348646,3.4298726454305575
33,1.98,-1.34,0.7799266906191606,3.426785672929129
34,1.98,-1.32,0.779923786519605,3.4235748775219705
35,1.96,-2.0,0.7799742140510869,3.4796559646382073
36,1.96,-1.98,0.779973548283818,3.478729759337841
37,1.96,-1.96,0.7799728511472723,3.4777879053038787
38,1.96,-1.94,0.7799721211637737,3.47680167981237
39,1.96,-1.92,0.7799713567860693,3.475768984807555
40,1.96,-1.9,0.7799705563940675,3.474687621809948
41,1.96,-1.88,0.7799697182914032,3.473555286965796
42,1.96,-1.86,0.7799688407018533,3.4723695658411704
43,1.96,-1.84,0.7799679217655855,3.471127927947504
44,1.96,-1.82,0.7799669595352241,3.4698645378326787
45,1.96,-1.8,0.7799659519717355,3.468545887317008
46,1.96,-1.78,0.779964896940118,3.4671651595563135
47,1.96,-1.76,0.7799637922048982,3.465719412984909
48,1.96,-1.74,0.7799626354254008,3.4642055639135547
49,1.96,-1.72,0.7799614241508114,3.462638622159586
50,1.96,-1.7,0.7799601558150012,3.461031103503194
51,1.96,-1.68,0.7799588277311105,3.459348003634893
52,1.96,-1.66,0.7799574370858783,3.457585735944851
53,1.96,-1.64,0.7799559809337068,3.4557405393045038
54,1.96,-1.62,0.7799544561904503,3.4538587596998753
55,1.96,-1.6,0.7799528596269111,3.451899875016498
