,W_n1,W_n2,X1,X2
0,1.36,0.79,0.519901944624543,2.105991567553205
1,1.35,0.78,0.5199040891354778,2.105938657785876
2,1.34,0.77,0.5199062833081284,2.1058845161318507
3,1.33,0.76,0.5199085282856406,2.105829113923365
4,1.32,0.75,0.5199108252371555,2.1057724218263147
5,1.31,0.74,0.519913175358372,2.1057144098246336
6,1.3,0.73,0.5199155798721502,2.105655047204633
7,1.29,0.72,0.5199180400290966,2.1055943025387216
8,1.28,0.71,0.5199205571081889,2.1055321436688805
9,1.27,0.7,0.5199231324173923,2.1054685376897635
10,1.26,0.69,0.5199257672942982,2.1054034509313606
11,1.25,0.68,0.5199284631067841,2.105336848941268
12,1.24,0.67,0.5199312212536653,2.1052686964665583
13,1.23,0.66,0.5199340431653829,2.1051989574352428
14,1.22,0.65,0.519936930304691,2.105127594937376
15,1.21,0.64,0.519939884167364,2.1050545712055024
16,1.2,0.63,0.5199429062829164,2.104979847594848
17,1.19,0.62,0.5199459982153376,2.1049033845631255
18,1.18,0.61,0.519949161563842,2.104825141649637
19,1.17,0.6,0.5199523979636339,2.104745077454102
20,1.16,0.59,0.5199557090866838,2.1046631496147654
21,1.15,0.58,0.5199590966425294,2.104579314786359
22,1.14,0.57,0.5199625623790803,2.10449352861727
23,1.13,0.56,0.5199661080834517,2.1044057457262055
24,1.12,0.55,0.5199697355827978,2.1043159196784647
25,1.11,0.54,0.5199734467451828,2.1042240029615704
26,1.1,0.53,0.5199772434804477,2.104129946960371
27,1.09,0.52,0.5199811277411075,2.1040337019315523
28,1.08,0.51,0.5199851015232613,2.103935216977606
29,1.07,0.5,0.5199891668675185,2.1038344400201248
30,1.06,0.49,0.5199933258599421,2.1037313177725725
31,1.05,0.48,0.5199975806330185,2.103625795712449
32,1.04,0.47,0.520001861582449,2.10351781805264
33,1.03,0.46,0.5200061491729205,2.1034073277124103
34,0.47,-0.09,0.5199070700660381,2.086851145589921
35,0.46,-0.1,0.519923321167845,2.0864672560907036
36,0.45,-0.11,0.5199399341405319,2.0860744547835273
37,0.44,-0.12,0.519956916654861,2.0856725358069865
38,0.43,-0.13,0.5199742765264106,2.085261288599396
39,0.42,-0.14,0.5199920217174813,2.08484801766459
40,0.41,-0.15,0.520009783332917,2.0844264640216204
41,0.19,-0.36,0.5199218200348449,2.0685238728773117
42,0.18,-0.37,0.5199520323225596,2.0678535021296236
43,0.17,-0.38,0.5199828907572435,2.067167598766946
44,0.02,-0.52,0.519927347498597,2.051316045261485
45,0.01,-0.53,0.5199709725118347,2.050386928080853
46,-0.1,-0.63,0.5199087341069788,2.035373739526481
47,-0.11,-0.64,0.5199649601813314,2.034224930601516
48,-0.2,-0.72,0.5199187914845441,2.0195167222751715
49,-0.21,-0.73,0.5199878753249011,2.0181592701112825
50,-0.28,-0.79,0.51990498162512,2.0047271446144452
51,-0.29,-0.8,0.5199861632106372,2.0031941341999233
52,-0.35,-0.85,0.5199010232177579,1.990273947367352
53,-0.36,-0.86,0.5199941938165624,1.9885810396810715
54,-0.42,-0.91,0.5199855484108664,1.9747436997154235
55,-0.47,-0.95,0.5199323199931432,1.9620982019991162
56,-0.52,-0.99,0.5199332410712572,1.948892006968202
57,-0.57,-1.03,0.5199920996518742,1.935110754393315
58,-0.61,-1.06,0.5199623754077237,1.923111939952205
59,-0.65,-1.09,0.5199741686670751,1.9107581889226528
60,-0.72,-1.14,0.5199491809280936,1.8875913221277336
61,-0.87,-1.24,0.5199556595154204,1.832614652913249
62,-0.92,-1.27,0.5199162659018504,1.8124554979648768
63,-0.97,-1.3,0.5199605516124346,1.791795677939165
64,-1.08,-1.36,0.51999815325808,1.7433197735303156
65,-1.1,-1.37,0.5199953810765388,1.7340738487165062
66,-1.12,-1.38,0.520006255144918,1.7247491553985412
67,-1.21,-1.42,0.5199277228525323,1.6809013933704038
68,-1.28,-1.45,0.5199907606803175,1.6455562148973895
69,-1.36,-1.48,0.5200039117455278,1.6032279929475095
70,-1.39,-1.49,0.5199868781058322,1.5868060249998908
71,-1.42,-1.5,0.5199974036120932,1.570198811450369
72,-1.49,-1.52,0.5199269719513889,1.5301382706170747
73,-1.56,-1.54,0.5199944627390793,1.488910846489445
74,-1.6,-1.55,0.520005695126458,1.4645344020393498
75,-1.65,-1.56,0.5199271554217545,1.4329998639101866
76,-1.7,-1.57,0.5199067738034125,1.4006379437198024
77,-1.75,-1.58,0.5199408960737694,1.3673222232205349
78,-1.81,-1.59,0.519929440775113,1.3255782252092967
79,-1.87,-1.6,0.5199844676350508,1.2819156618651653
80,-1.88,-1.6,0.519900706170729,1.2741687536207744
81,-1.95,-1.61,0.5199527802457669,1.2193968753991573
