,W_n1,W_n2,X1-X2,X1,X2
0,1.95,1.95,-0.6042109715308807,0.13902227914038082,0.7432332506712614
1,1.9,1.9,-0.6041954746370176,0.13902727504572243,0.74322274968274
2,1.9,1.95,-0.596803024101193,0.13499900874719928,0.7318020328483923
3,1.85,1.85,-0.6041780879310261,0.13903287939466982,0.7432109673256959
4,1.85,1.9,-0.5967862180243376,0.13500511892747036,0.731791336951808
5,1.8,1.8,-0.6041585811039517,0.13903916613164788,0.7431977472355996
6,1.8,1.85,-0.5967673628122687,0.13501197306437612,0.7317793358766449
7,1.75,1.75,-0.6041366958179688,0.13904621814702905,0.7431829139649978
8,1.75,1.8,-0.5967462088237124,0.13501966152152836,0.7317658703452408
9,1.7,1.7,-0.6041121423050486,0.13905412834896197,0.7431662706540106
10,1.7,1.75,-0.5967224760587225,0.13502828558207525,0.7317507616407978
11,1.65,1.65,-0.6040845955560392,0.13906300086090936,0.7431475964169486
12,1.65,1.7,-0.5966958504786104,0.13503795875367483,0.7317338092322853
13,1.6,1.6,-0.6040536910498034,0.13907295235894382,0.7431266434087472
14,1.6,1.65,-0.5966659798861096,0.1350488082256694,0.7317147881117789
15,1.55,1.55,-0.6040190199696356,0.13908411356422806,0.7431031335338636
16,1.55,1.6,-0.5966324693102214,0.13506097649524149,0.7316934458054629
17,1.5,1.5,-0.6039801238453213,0.1390966309075721,0.7430767547528934
18,1.5,1.55,-0.5965948758389563,0.13507462318092206,0.7316694990198784
19,1.45,1.45,-0.6039364885537619,0.1391106683845295,0.7430471569382914
20,1.45,1.5,-0.5965527028338862,0.135089927043497,0.7316426298773832
21,1.4,1.4,-0.6038875376021549,0.13912640962107348,0.7430139472232283
22,1.4,1.45,-0.5965053934560871,0.13510708823610734,0.7316124816921944
23,1.35,1.35,-0.6038326246108643,0.13914406017157882,0.7429766847824432
24,1.35,1.4,-0.5964523234231381,0.13512633080710737,0.7315786542302455
25,1.3,1.3,-0.6037710249024945,0.13916385007245316,0.7429348749749476
26,1.3,1.35,-0.5963927929069387,0.1351479054810316,0.7315406983879703
27,1.25,1.25,-0.6037019260948283,0.13918603667640175,0.74288796277123
28,1.25,1.3,-0.5963260174770634,0.1351720927447548,0.7314981102218182
29,1.2,1.2,-0.6036244175825936,0.13921090779380968,0.7428353253764032
30,1.2,1.25,-0.5962511179784048,0.1351992062675389,0.7314503242459437
31,1.15,1.15,-0.6035374787827071,0.1392387851690476,0.7427762639517548
32,1.15,1.2,-0.5961671092254983,0.13522959668507903,0.7313967059105774
33,1.1,1.1,-0.6034399660028349,0.13927002832056062,0.7427099943233955
34,1.1,1.15,-0.5960728873800285,0.1352636557787486,0.7313365431587772
35,1.05,1.05,-0.6033305977807416,0.13930503877419567,0.7426356365549373
36,1.05,1.1,-0.5959672158676078,0.1353018210818551,0.7312690369494629
37,1.0,1.0,-0.6032079385248905,0.139344264719255,0.7425522032441455
38,1.0,1.05,-0.595848709675117,0.1353445809446931,0.7311932906198102
39,0.95,0.95,-0.6030703802715698,0.13938820611595176,0.7424585863875215
40,0.95,1.0,-0.5957158178540163,0.1353924800892434,0.7311082979432597
41,0.9,0.9,-0.6029161223566554,0.1394374202810764,0.7423535426377318
42,0.9,0.95,-0.5955668040421718,0.13544612568226205,0.7310129297244338
43,0.85,0.85,-0.6027431487808665,0.13949252797540565,0.7422356767562722
44,0.85,0.9,-0.5953997247975235,0.13550619395186736,0.7309059187493908
45,0.8,0.8,-0.6025492030296258,0.13955422001128426,0.74210342304091
46,0.8,0.85,-0.5952124055229353,0.13557343736712757,0.7307858428900629
47,0.75,0.75,-0.6023324945745654,0.13962326439147535,0.7419557589660407
48,0.75,0.8,-0.5950024137431236,0.13564869239210417,0.7306511061352278
49,0.7,0.7,-0.6020914477403201,0.13970051398017377,0.7417919617204939
50,0.65,0.65,-0.6018212496550924,0.13978691469343738,0.7416081643485298
51,0.6,0.6,-0.6015184090797387,0.1398835141784333,0.741401923258172
52,0.55,0.55,-0.6011790250824784,0.13999147092803427,0.7411704960105127
53,0.5,0.5,-0.6008022139998541,0.14010859073405418,0.7409108047339082
54,0.45,0.45,-0.6003803373634871,0.14023905769974823,0.7406193950632353
55,0.4,0.4,-0.5999077525825156,0.14038463748022295,0.7402923900627385
56,0.35,0.35,-0.599379672337846,0.14054697630074575,0.7399266486385917
57,0.3,0.3,-0.5987936680087433,0.14072787431497052,0.7395215423237138
58,0.25,0.25,-0.5981376313571483,0.1409292938504372,0.7390669252075854
59,0.2,0.15,-0.6045277056954528,0.14476677369616212,0.7492944793916149
60,0.2,0.2,-0.5974033740435216,0.1411533665205069,0.7385567405640285
61,0.15,0.1,-0.6036793755261765,0.144994255960596,0.7486736314867725
62,0.15,0.15,-0.5965820468906596,0.1414023987122788,0.7379844456029384
63,0.1,0.05,-0.6027304916474434,0.14524681343127502,0.7479773050787184
64,0.1,0.1,-0.5956733767920036,0.14167887487197742,0.737352251663981
65,0.05,0.0,-0.6016812326526342,0.14552687867951908,0.7472081113321533
66,0.0,-0.05,-0.6005078571446487,0.14583704352187282,0.7463449006665215
67,-0.05,-0.1,-0.599211808862931,0.1461743965884387,0.7453862054513697
68,-0.1,-0.2,-0.6045384480870719,0.14978807826879892,0.7543265263558708
69,-0.1,-0.15,-0.5977752627887535,0.14654124497297602,0.7443165077617295
70,-0.15,-0.25,-0.6028778787140872,0.15016206196332524,0.7530399406774124
71,-0.15,-0.2,-0.596184508448693,0.14694562126928828,0.7431301297179813
72,-0.2,-0.3,-0.601042404825312,0.15056606783141677,0.7516084726567288
73,-0.25,-0.35,-0.5990111976135638,0.15100960387901854,0.7500208014925823
74,-0.3,-0.45,-0.6030697277665348,0.15438661130097023,0.757456339067505
75,-0.3,-0.4,-0.5967717055074072,0.15149544363615627,0.7482671491435635
76,-0.35,-0.5,-0.6005008021154451,0.15486562648319943,0.7553664285986446
77,-0.4,-0.6,-0.6035531258213108,0.15800045834944623,0.761553584170757
78,-0.4,-0.55,-0.5976751053957794,0.1553875110482602,0.7530626164440396
79,-0.45,-0.65,-0.6003304510088765,0.1585085771855968,0.7588390281944732
80,-0.5,-0.75,-0.60219214563588,0.16138489865205163,0.7635770442879316
81,-0.5,-0.7,-0.5967996968299991,0.15905859224581792,0.755858289075817
82,-0.55,-0.85,-0.603178151933565,0.16403168439401047,0.7672098363275756
83,-0.55,-0.8,-0.5981772820912208,0.16193108204372286,0.7601083641349436
84,-0.6,-0.95,-0.6032385280553221,0.1664373985094998,0.7696759265648219
85,-0.6,-0.9,-0.598660453608216,0.16455055539290972,0.7632110090011257
86,-0.65,-1.05,-0.6023152032227324,0.1686271484955176,0.77094235171825
87,-0.65,-1.0,-0.598168108273784,0.16694204462658263,0.7651101529003667
88,-0.7,-1.2,-0.6038302436340655,0.17197971673169213,0.7758099603657576
89,-0.7,-1.15,-0.6003760499611857,0.17060909982460287,0.7709851497857886
90,-0.7,-1.1,-0.5966625980142595,0.169112746374748,0.7657753443890075
91,-0.75,-1.35,-0.6032741797496401,0.17468259007217968,0.7779567698218198
92,-0.75,-1.3,-0.6004559687009909,0.1735952003124897,0.7740511690134807
93,-0.75,-1.25,-0.5974106967509059,0.17239458130474178,0.7698052780556477
94,-0.8,-1.6,-0.6046706381829791,0.17833697746686827,0.7830076156498473
95,-0.8,-1.55,-0.6028050978338518,0.1776354143726895,0.7804405122065413
96,-0.8,-1.5,-0.6007643471066818,0.176854062634777,0.7776184097414588
97,-0.8,-1.45,-0.598520656907876,0.17600172580975038,0.7745223827176264
98,-0.8,-1.4,-0.5960928881533081,0.1750401265587227,0.7711330147120308
99,-0.85,-2.0,-0.6048580419754578,0.18173325172870533,0.7865912937041631
100,-0.85,-1.95,-0.6040016892654245,0.1814123203279048,0.7854140095933293
101,-0.85,-1.9,-0.6030460875947039,0.18105641869665873,0.7841025062913626
