,W_n1,W_n2,X1-X2,X1,X2
0,1.75,1.95,-0.604961975180258,0.16059962371076714,0.7655615988910252
1,1.7,1.9,-0.6049434127375143,0.16060755444153071,0.765550967179045
2,1.7,1.95,-0.5986758716249083,0.1559629853880184,0.7546388570129268
3,1.65,1.85,-0.6049225872404029,0.16061645084219572,0.7655390380825987
4,1.65,1.9,-0.5986550516254641,0.15597278675372128,0.7546278383791853
5,1.6,1.8,-0.6048992230471933,0.1606264302190673,0.7655256532662607
6,1.6,1.85,-0.5986316938764794,0.15598378124032494,0.7546154751168044
7,1.55,1.75,-0.6048730110095605,0.160637624057013,0.7655106350665735
8,1.55,1.8,-0.5986054894167147,0.15599611370076716,0.7546016031174818
9,1.5,1.7,-0.6048436044173457,0.16065017971477058,0.7654937841321163
10,1.5,1.75,-0.5985764275211787,0.15600961071693553,0.7545860382381142
11,1.45,1.65,-0.6048106144563861,0.16066426231820646,0.7654748767745926
12,1.45,1.7,-0.5985439718458327,0.15602460200841067,0.7545685738542434
13,1.4,1.6,-0.6047736051222663,0.1606800568734062,0.7654536619956724
14,1.4,1.65,-0.5985075624062572,0.15604141570737398,0.7545489781136312
15,1.35,1.55,-0.6047320875273516,0.1606977706235732,0.7654298581509248
16,1.35,1.6,-0.5984667184270595,0.15606027242640652,0.754526990853466
17,1.3,1.5,-0.6046855135299769,0.16071763567593012,0.765403149205907
18,1.3,1.55,-0.5984209008960937,0.15608141924568947,0.7545023201417831
19,1.25,1.45,-0.6046332686058683,0.1607399119271022,0.7653731805329705
20,1.25,1.5,-0.5983695055667189,0.15610513282700358,0.7544746383937224
21,1.2,1.4,-0.6045746638770477,0.1607648903178405,0.7653395541948882
22,1.2,1.45,-0.5983118551354695,0.15613172287830204,0.7544435780137715
23,1.15,1.35,-0.6045089271999461,0.16079289645031358,0.7653018236502597
24,1.15,1.4,-0.598247190499373,0.1561615360042411,0.7544087265036141
25,1.1,1.3,-0.604435193207635,0.16082429460352607,0.765259487811161
26,1.1,1.35,-0.5981746609900869,0.15619495998053953,0.7543696209706264
27,1.05,1.25,-0.6043524921870357,0.16085949218462783,0.7652119843716635
28,1.05,1.3,-0.5980933134708666,0.15623242849238997,0.7543257419632565
29,1.0,1.2,-0.6042597376642044,0.16089894465584498,0.7651586823200494
30,1.0,1.25,-0.5980020801710438,0.15627442637925282,0.7542765065502967
31,0.95,1.15,-0.6041557125530024,0.16094316097831948,0.7650988735313219
32,0.95,1.2,-0.5978997651209186,0.15632149543005258,0.7542212605509712
33,0.9,1.1,-0.6040390537142744,0.16099270961517734,0.7650317633294517
34,0.9,1.15,-0.5977850290371214,0.15637424077392237,0.7541592698110438
35,0.85,1.05,-0.6039082347537403,0.1610482251363353,0.7649564598900757
36,0.85,1.1,-0.597656372494729,0.15643333791188302,0.7540897104066121
37,0.8,1.0,-0.6037615468758497,0.16111041546665758,0.7648719623425073
38,0.8,1.05,-0.5975121172103199,0.15649954043398445,0.7540116576443043
39,0.75,0.95,-0.6035970775921351,0.16118006981675206,0.7647771474088871
40,0.75,1.0,-0.5973516344682825,0.1565736884640294,0.753925322932312
41,0.7,0.9,-0.6034126870694694,0.16125806733143352,0.7646707544009029
42,0.7,0.95,-0.5971719411743565,0.1566567178696281,0.7538286590439846
