,W_n1,W_n2,X1-X2,X1,X2
0,1.95,1.3,-0.5992877110533924,0.1718905636301302,0.7711782746835226
1,1.9,1.25,-0.5992506337541406,0.17189186143504204,0.7711424951891825
2,1.85,1.2,-0.5992090329914403,0.17189331727921625,0.7711023502706567
3,1.8,1.15,-0.5991623569912625,0.17189495036445185,0.7710573073557143
4,1.75,1.1,-0.5991099866988508,0.17189678221437263,0.7710067689132235
5,1.7,1.05,-0.5990512275816465,0.1718988369522778,0.7709500645339243
6,1.65,1.0,-0.5989853004354488,0.17190114161150213,0.770886442046951
7,1.6,0.95,-0.5989113310732147,0.17190372648187366,0.7708150575550884
8,1.55,0.9,-0.5988283387612471,0.17190662549624489,0.770734964257492
9,1.5,0.85,-0.5987352232518197,0.17190987666140625,0.7706450999132259
10,1.45,0.8,-0.5986307502428123,0.17191352253809958,0.7705442727809119
11,1.4,0.75,-0.5985135350753527,0.1719176107752336,0.7704311458505863
12,1.35,0.7,-0.5983820244578557,0.17192219470380596,0.7703042191616617
13,1.3,0.65,-0.598234475980375,0.17192733399643462,0.7701618099768097
14,1.25,0.6,-0.5980689351556074,0.17193309539876597,0.7700020305543734
15,1.2,0.55,-0.5978869073918283,0.17193955353937365,0.7698264609312019
16,1.15,0.5,-0.5976827316848061,0.17194679182502084,0.7696295235098269
17,1.1,0.45,-0.5974536623775923,0.17195490342835168,0.769408565805944
18,1.05,0.4,-0.5971966676165702,0.17196399237510143,0.7691606599916716
19,1.0,0.3,-0.6047247930599188,0.17310202514340653,0.7778268182033253
20,1.0,0.35,-0.5969083472657473,0.17197417473777613,0.7688825220035234
21,0.95,0.25,-0.604374675833281,0.17311210936078525,0.7774867851940662
22,0.95,0.3,-0.5965848884705339,0.17198557994236371,0.7685704684128977
23,0.9,0.2,-0.6039819033916682,0.17312340207535198,0.7771053054670202
24,0.9,0.25,-0.5962220159519922,0.17199835219388332,0.7682203681458756
25,0.85,0.15,-0.6035412905428159,0.17313604514648956,0.7766773356893055
26,0.85,0.2,-0.5958190528114249,0.17201211688436596,0.7678311696957908
27,0.8,0.1,-0.6030470253208906,0.17315019632863088,0.7761972216495214
28,0.8,0.15,-0.5953722132905136,0.17202744586402077,0.7673996591545343
29,0.75,0.05,-0.6024996870369237,0.17316603085882304,0.7756657178957468
30,0.7,0.0,-0.6018903255295991,0.17318374315260338,0.7750740686822025
31,0.65,-0.05,-0.601206821437096,0.17320354860153622,0.7744103700386322
32,0.6,-0.1,-0.600447106104963,0.17322568546068426,0.7736727915656473
33,0.55,-0.15,-0.5996045435315269,0.17325041680780875,0.7728549603393357
34,0.5,-0.2,-0.5986608771728158,0.17327803254794802,0.7719389097207638
35,0.45,-0.3,-0.6047147631541523,0.17432118475851854,0.7790359479126708
36,0.45,-0.25,-0.5976223474260627,0.17330885142696734,0.7709311988530301
37,0.4,-0.35,-0.603457452739744,0.17435144780163986,0.777808900541384
38,0.4,-0.3,-0.5964618304000218,0.17334322300541055,0.7698050534054324
39,0.35,-0.4,-0.6020716313154781,0.1743851733288952,0.7764568046443733
40,0.35,-0.35,-0.5951819463673695,0.17338152952927818,0.7685634758966478
41,0.3,-0.45,-0.6005396769845258,0.17442272740134515,0.7749624043858709
42,0.25,-0.5,-0.5988471792189355,0.1744645073737203,0.7733116865926558
43,0.2,-0.6,-0.6033170055534078,0.175401415230321,0.7787184207837288
44,0.2,-0.55,-0.5969826007504521,0.17451094272220716,0.7714935434726592
45,0.15,-0.65,-0.6011137122301691,0.17544868534696442,0.7765623975771335
46,0.1,-0.75,-0.6045020579751856,0.17629717184692434,0.7807992298221099
47,0.1,-0.7,-0.5986986682058172,0.1755010949418884,0.7741997631477056
48,0.05,-0.8,-0.601683488350786,0.1763479163835008,0.7780314047342868
49,0.05,-0.75,-0.5960628356974519,0.17555912345858293,0.7716219591560348
50,0.0,-0.9,-0.6038285785387454,0.17710380513711113,0.7809323836758565
51,0.0,-0.85,-0.5986263625949965,0.17640400981943463,0.7750303724144311
52,-0.05,-0.95,-0.6003038240951742,0.17716025146332925,0.7774640755585035
53,-0.05,-0.9,-0.5953002628068494,0.17646591163936495,0.7717661744462144
54,-0.1,-1.05,-0.6010335986091512,0.17785075611630774,0.7788843547254589
55,-0.1,-1.0,-0.5964971431912812,0.1772224181997161,0.7737195613909973
56,-0.15,-1.2,-0.6046296892184346,0.1789501296352274,0.783579818853662
57,-0.15,-1.15,-0.6008045991373036,0.17845819042885958,0.7792627895661631
58,-0.15,-1.1,-0.5967218590843791,0.17791290486341085,0.77463476394779
59,-0.2,-1.3,-0.602958125478327,0.17944467899008737,0.7824028044684144
60,-0.2,-1.25,-0.5995920234359786,0.17900368610243883,0.7785957095384174
61,-0.2,-1.2,-0.5959746615592718,0.1785173026649307,0.7744919642242025
62,-0.25,-1.45,-0.6030458680018855,0.18023650839673233,0.7832823763986179
63,-0.25,-1.4,-0.6003288233553675,0.17989164606322858,0.7802204694185961
64,-0.25,-1.35,-0.5974025404135238,0.1794976365641063,0.7769001769776301
65,-0.3,-1.7,-0.6049845400980558,0.18132157250205932,0.7863061126001151
66,-0.3,-1.65,-0.6032077184997776,0.18110119172365544,0.7843089102234331
67,-0.3,-1.6,-0.6012571218195593,0.1808560674457697,0.782113189265329
68,-0.3,-1.55,-0.599125198294096,0.18058369900737758,0.7797088973014736
69,-0.3,-1.5,-0.5967984363114781,0.1802814004668631,0.7770798367783412
70,-0.35,-2.0,-0.6039890705061344,0.1821389895394097,0.786128060045544
71,-0.35,-1.95,-0.6029891407446065,0.18201899630865848,0.785008137053265
72,-0.35,-1.9,-0.6018801536238476,0.18187950762445143,0.783759661248299
73,-0.35,-1.85,-0.6006580548867634,0.18172284106175166,0.782380895948515
74,-0.35,-1.8,-0.5993087457664482,0.18154813712425255,0.7808568828907008
75,-0.35,-1.75,-0.597818774348654,0.18135346094457266,0.7791722352932267
76,-0.35,-1.7,-0.5961783023676829,0.18113670521383385,0.7773150075815167
77,-0.4,-2.0,-0.5951100840399736,0.1820402513957037,0.7771503354356772
